City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
Atuona,PF,1583371167,69,-9.8,-139.03,81.3,58,10.22
Laramie,US,1583371096,37,41.31,-105.59,46.4,22,27.51
Ushuaia,AR,1583371091,87,-54.8,-68.3,51.8,75,5.82
Faanui,PF,1583371168,73,-16.48,-151.75,82.47,86,5.95
Carnarvon,AU,1583371168,88,-24.87,113.63,78.8,0,12.75
Rio Grande,BR,1583370890,75,-32.03,-52.1,69.01,0,13.02
Nikolskoye,RU,1583371168,93,59.7,30.79,39.2,90,8.95
Mataura,NZ,1583371168,54,-46.19,168.86,61.32,0,1.72
Padang,ID,1583371169,95,-0.95,100.35,69.08,100,2.48
Saint George,US,1583371169,24,37.1,-113.58,66.2,1,9.17
Albany,US,1583370971,69,42.6,-73.97,42.01,90,13.87
Saint-Philippe,RE,1583371169,100,-21.36,55.77,77.0,90,2.24
Kaseda-shirakame,JP,1583371169,52,31.42,130.32,42.8,75,11.41
Port Hardy,CA,1583371163,75,50.7,-127.42,41.0,90,14.99
New Norfolk,AU,1583371169,93,-42.78,147.06,63.0,75,8.05
Shingū,JP,1583371169,53,33.73,135.98,44.6,75,21.92
Cabo San Lucas,MX,1583371170,59,22.89,-109.91,70.0,90,8.05
Caravelas,BR,1583371170,82,-17.71,-39.25,81.82,46,18.3
Portland,US,1583370900,37,45.52,-122.68,55.99,1,3.36
Naryan-Mar,RU,1583371170,91,67.67,53.09,9.16,0,9.35
Rikitea,PF,1583371170,72,-23.12,-134.97,77.63,42,17.0
Chishtian,PK,1583371170,72,29.8,72.87,56.86,0,11.77
Provideniya,RU,1583371073,61,64.38,-173.3,14.0,0,3.85
Nishihara,JP,1583371170,87,26.18,127.76,59.0,75,16.11
Sitka,US,1583371171,69,57.05,-135.33,37.4,90,13.87
Ponta do Sol,PT,1583371171,72,32.67,-17.1,62.6,20,2.24
San Felipe,VE,1583371171,84,10.34,-68.74,72.57,8,3.38
Port-Cartier,CA,1583371171,86,50.03,-66.87,30.2,90,14.99
Bluff,NZ,1583371072,50,-46.6,168.33,60.6,0,2.66
Sangar,RU,1583371171,86,63.92,127.47,1.96,100,13.96
Bambous Virieux,MU,1583371171,100,-20.34,57.76,79.0,75,5.82
Shimoda,JP,1583371172,58,34.67,138.95,57.99,75,16.11
